Řádek č.;Objednací kód;Číslo dílu výrobce;Název výrobce;Výrobce / Popis;Součástka;Hodnota;Počet na DPS;Pouzdro;Dostupnost;Jednotková cena;Množství;Cena zakoupených položek;Cena použitých součástek;Poznámky;Odkaz
18;1833850;08051C103K4Z2A;AVX;AVX  SMD Vícevrstvý Keramický Kondenzátor, 10000 pF, 100 V, 0805 [2012 Metrické], ± 10%, X7R, Série MLCC;C9;10 nF;1;C_0805_2012Metric;2700;5.9190;10.0;59.19;5,92;;https://cz.farnell.com/avx/08051c103k4z2a/cap-0-01-f-100v-10-x7r-0805/dp/1833850
19;905-160;CC0805KKX5R6BB475;YAGEO;Keramický kondenzátor CKS0805 4,7u/10V X5R 10% YAGEO;C11;4.7 uF;1;C_0805_2012Metric;;4,50;5,0;22,50;4,50;;https://www.gme.cz/cks0805-4-7u-10v-x5r-10-yageo 
20;901-176;RC0805FR-0710KL;YAGEO;SMD Rezistor R0805 10k 1% YAGEO;R1, R2;10 kohm;2;R_0805_2012Metric;;3,30;8,0;26,40;6,60;;https://www.gme.cz/r0805-10k-1-yageo 
21;2138778;CRCW080527R0FKEA.;VISHAY;VISHAY  SMD Čipový Rezistor, Tlustý Film, 0805 [2012 Metrické], 27 ohm, Série CRCW, 150 V, Thick Film;R4;27 ohm;1;R_0805_2012Metric;24485;2,0640;10.0;20,64;2,06;;https://cz.farnell.com/vishay/crcw080527r0fkea/res-27r-1-0-125w-0805-thick-film/dp/2138778
22;2073600;MCMR08W5R60FTL;MULTICOMP PRO;MULTICOMP PRO  SMD Čipový Rezistor, Keramický, 0805 [2012 Metrické], 5.6 ohm, Série MCMR, 150 V, Thick Film;R3, R5;5.6 ohm;2;R_0805_2012Metric;2013;0,6390;10.0;6,39;1,28;;https://cz.farnell.com/multicomp/mcmr08w5r60ftl/res-5r6-1-0-125w-0805-ceramic/dp/2073600
23;1469860;CRCW0805100KFKEA;VISHAY;VISHAY  SMD Čipový Rezistor, Tlustý Film, 0805 [2012 Metrické], 100 kohm, Série CRCW, 150 V, Thick Film;R6;100 kohm;1;R_0805_2012Metric;85066;2,1000;10.0;21,00;2,10;;https://cz.farnell.com/vishay/crcw0805100kfkea/res-100k-1-0-125w-0805-thick-film/dp/1469860
24;;;;"ECE ESP2010, Přepínač: posuvný; Polohy: 2; SPDT; 0,5A/12VDC; ON-ON";SW1;;1;Sw_ESP2010 (1x03_P2.54mm);;18,67;2,0;37,34;18,67;;https://www.tme.eu/cz/details/esp2010/posuvne-prepinace/ece/ 
25;2433469;NUCLEO-F411RE;STMICROELECTRONICS;STMICROELECTRONICS  Vývojová Deska, STM32 Nucleo-64, STM32F411RE MCU, Arduino Uno & Morpho Připojení;;;;;373;327,1630;1.0;327,16;0,00;;https://cz.farnell.com/stmicroelectronics/nucleo-f411re/dev-board-cortex-m4-mcu/dp/2433469#anchorTechnicalDOCS
26;;;;EHAO LiPol Baterie 603443 900mAh 3.7V, LA123014;;;1;;;158,00;1,0;158,00;158,00;;https://www.laskarduino.cz/baterie-li-po-3-7v-900mah-lipo/
27;800-085;A2543-H03;;Konektor se zámkem PFH02-03P;;;1;;;0,70;1,0;0,70;0,70;;https://www.gme.cz/product/4962
28;800-191;;;Kontakt PFF02-01FG TAPE;;;3;;;2,20;3,0;6,60;6,60;;https://www.gme.cz/kontakt-pff02-01fg-tape
28;;;;Nabíječka Li-ion článku TP4056 s ochranou microUSB, LA123003C;;;1;;;25,00;1,0;25,00;25,00;;https://www.laskarduino.cz/nabijecka-li-ion-clanku-tp4056-s-ochranou-microusb/
29;2401856;103456A-1S-3M;BAK;BAK  Dobíjecí Baterie, 3.7 V, Lithium Ion, 2.05 Ah, Konektor;;;;;3441;551,8630;1.0;551,86;0,00;;https://cz.farnell.com/bak/103456a-1s-3m/battery-lithium-ion-3-7v-2050mah/dp/2401856
30;2913959;146168-0001;MOLEX;MOLEX  Anténa, GPS, 1,578 GHz až 1,572 GHz, 5,5 dBi Zisk, SMD, Pravostranná Kruhová;;;1;;1570;45,9670;2.0;91,93;45,97;;https://cz.farnell.com/molex/146168-0001/gps-antenna-rhc-1-572-1-578ghz/dp/2913959?st=ant%C3%A9na%20gps
31;2096159;66089-0406;ANAREN;ANAREN  Anténa, Prutová, Přímý RF, U.Fl, 433MHz;;;1;;227;163,4260;1.0;163,43;163,43;;https://cz.farnell.com/anaren/66089-0406/antenna-66089-04c-433mhz-u-fl/dp/2096159
32;661-057;120306Z33-10;;Fotocuprextit 160x100x1,5mm, dvouvrstvý, FR4 BEP100160A2;;;;;;96,00;1,0;96,00;0,00;;https://www.gme.cz/fotocuprextit-fr4-160x100x1-5-dvouvrstvy 
33;;;;RobotDyn Převodník 6Pin USB TTL UART, CH340, LA161003;;;;;;48,00;1,0;48,00;0,00;;https://www.laskarduino.cz/robotdyn-prevodnik-6pin-usb-ttl-uart--ch340/
34;;;JLCPCB;PCB Prototype, 56mm*56mm, FR4-Standard Tg 130-140C, HASL(with lead), Thickness 1.6 mm, Black, ;;;1;;;11,34;10,0;113,41;11,34;;https://jlcpcb.com
;;;;;;;;;;;;;;;
;;;Dílčí součet/Total per component (CZK);2631,829;;;;;;;;;;;
;;;Celkem/Total (CZK);4069,41;;;;;;;;;;;
;;;Cena kompletního DPS/Total for complete PCB (CZK);1686,37;;;;;;;;;;;
